X1,X2,X3,X4,Y
33,1,1,0,1
35,1,1,0,1
6,1,1,0,0
60,1,1,0,1
18,3,1,1,0
26,3,1,0,0
6,3,1,0,0
31,2,1,1,1
26,2,1,1,0
37,2,1,0,0
23,1,1,0,0
23,1,1,0,0
27,1,1,0,1
9,1,1,1,1
37,1,2,1,1
22,1,2,1,1
67,1,2,1,1
8,1,2,0,1
6,1,2,1,1
15,1,2,1,1
21,2,2,1,1
32,2,2,1,1
16,1,2,1,1
11,2,2,0,0
14,3,2,0,0
9,2,2,0,0
18,2,2,0,0
2,3,1,0,0
61,3,1,0,1
20,3,1,0,0
16,3,1,0,0
9,2,1,0,0
35,2,1,0,1
4,1,1,0,1
44,3,2,0,0
11,3,2,1,0
3,2,2,0,1
6,3,2,0,0
17,2,2,1,0
1,3,2,0,1
53,2,2,1,1
13,1,2,1,0
24,1,2,0,0
70,1,2,1,1
16,3,2,1,1
12,2,2,0,1
20,3,2,1,1
65,3,2,0,1
40,2,2,1,0
38,2,2,1,1
68,2,2,1,1
74,1,2,1,1
14,1,2,1,1
27,1,2,1,1
31,1,2,0,1
18,1,2,0,1
39,1,2,0,0
50,1,2,0,1
31,1,2,0,1
61,1,2,0,1
18,3,1,0,0
5,3,1,0,0
2,3,1,0,1
16,3,1,0,0
59,3,1,1,1
22,3,1,0,0
24,1,1,0,1
30,1,1,0,1
46,1,1,0,1
28,1,1,0,0
27,1,1,0,1
27,1,1,1,0
28,1,1,0,1
52,1,1,1,1
11,3,1,0,1
6,2,1,0,1
46,3,1,0,0
20,2,1,1,1
3,1,1,0,1
18,2,1,0,0
25,2,1,0,0
6,3,1,0,1
65,3,1,1,1
51,3,1,0,1
39,2,1,0,1
8,1,1,0,1
8,2,1,0,0
14,3,1,0,0
6,3,1,0,0
6,3,1,0,1
7,3,1,0,0
4,3,1,0,0
8,3,1,0,0
9,2,1,0,0
32,3,1,1,0
19,3,1,0,0
11,3,1,0,0
35,3,1,0,0
16,1,1,0,0
1,1,1,0,1
6,1,1,0,1
27,1,1,0,1
25,1,1,0,1
18,1,1,0,0
37,3,1,0,0
33,3,1,1,0
27,2,1,0,0
2,1,1,0,0
8,2,1,0,0
5,1,1,0,0
1,1,1,0,1
32,1,1,0,0
25,1,1,1,1
15,1,2,0,0
15,1,2,0,1
26,1,2,0,1
42,1,2,1,1
7,1,2,0,1
2,1,2,0,0
65,1,2,1,1
33,2,2,0,1
8,2,2,1,0
30,2,2,0,0
5,3,2,0,0
15,3,2,0,0
60,3,2,1,1
13,3,2,1,1
70,3,1,0,1
5,3,1,0,0
3,3,1,0,1
50,2,1,0,1
6,2,1,0,0
12,2,1,0,1
39,3,2,1,0
15,2,2,0,1
35,2,2,1,0
2,2,2,0,1
17,3,2,0,0
43,3,2,1,1
30,2,2,0,1
11,1,2,0,1
39,1,2,1,1
32,1,2,0,1
17,1,2,0,1
3,3,2,0,1
7,3,2,0,0
2,2,2,0,0
64,2,2,1,1
13,1,2,1,1
15,2,2,1,1
48,2,2,0,1
23,1,2,0,1
48,1,2,1,0
25,1,2,0,1
12,1,2,0,1
46,1,2,1,1
79,1,2,0,1
56,1,2,0,1
8,1,2,0,1
29,3,1,1,0
35,3,1,1,0
11,3,1,1,0
69,3,1,0,1
21,3,1,1,0
13,3,1,0,0
21,1,1,0,1
32,1,1,1,1
24,1,1,1,0
24,1,1,0,1
73,1,1,0,1
42,1,1,0,1
34,1,1,1,1
30,2,1,0,0
7,2,1,0,0
29,3,1,1,0
22,3,1,1,0
38,2,1,0,1
13,2,1,0,1
12,2,1,0,1
42,3,1,0,0
17,3,1,1,0
21,3,1,0,1
34,1,1,0,1
1,3,1,0,0
14,2,1,0,0
16,2,1,0,0
9,3,1,0,0
53,3,1,0,0
27,3,1,0,0
15,3,1,0,0
9,3,1,0,0
4,2,1,0,1
10,3,1,0,1
31,3,1,0,0
85,3,1,0,1
24,2,1,0,0
